Datums,TestuSkaits,ApstiprinataCOVID19InfekcijaSkaits,Ipatsvars,IzarstetoPacientuSkaits,MirusoPersonuSkaits,ApstiprinatiVecGr_0-9Gadi,ApstiprinatiVecGr_10-19Gadi,ApstiprinatiVecGr_20-29Gadi,ApstiprinatiVecGr_30-39Gadi,ApstiprinatiVecGr_40-49Gadi,ApstiprinatiVecGr_50-59Gadi,ApstiprinatiVecGr_60-69Gadi,ApstiprinatiVecGr_70GadiUnVairak,ApstiprinatiVecGr_70-79Gadi,ApstiprinatiVecGr_80GadiUnVairak
29/02/2020,116,0,0,0,0,...,...,...,...,...,...,...,...,...,...
01/03/2020,10,0,0,0,0,...,...,...,...,...,...,...,...,...,...
02/03/2020,37,0,0,0,0,...,...,...,...,...,...,...,...,...,...
03/03/2020,41,1,2.4,0,0,...,...,...,...,...,...,...,...,...,...
04/03/2020,36,0,0,1,0,...,...,...,...,...,...,...,...,...,...
05/03/2020,35,0,0,0,0,...,...,...,...,...,...,...,...,...,...
06/03/2020,32,0,0,0,0,...,...,...,...,...,...,...,...,...,...
07/03/2020,14,0,0,0,0,...,...,...,...,...,...,...,...,...,...
08/03/2020,22,2,9.1,0,0,...,...,...,...,...,...,...,...,...,...
09/03/2020,48,3,6.3,0,0,...,...,...,...,...,...,...,...,...,...
10/03/2020,59,2,3.4,0,0,...,...,...,...,...,...,...,...,...,...
11/03/2020,47,2,4.3,0,0,...,...,...,...,...,…,...,...,...,...
12/03/2020,79,6,7.6,0,0,...,...,...,...,...,...,...,...,...,...
13/03/2020,127,1,0.8,0,0,...,...,...,...,...,...,...,...,...,...
14/03/2020,316,9,2.8,0,0,...,...,...,...,...,...,...,...,...,...
15/03/2020,334,4,1.2,0,0,...,...,...,...,...,...,...,...,...,...
16/03/2020,351,4,1.1,0,0,...,...,...,...,...,...,...,...,...,...
17/03/2020,495,26,5.3,0,0,...,...,...,...,...,...,...,...,...,...
18/03/2020,755,11,1.5,0,0,...,...,...,...,...,...,...,...,...,...
19/03/2020,720,15,2.1,0,0,1,1,4,6,2,1,0,0,0,0
20/03/2020,699,23,3.3,0,0,0,2,5,9,4,0,3,0,0,0
21/03/2020,1389,12,0.9,0,0,0,0,0,4,3,1,3,1,1,0
22/03/2020,811,15,1.8,0,0,0,2,4,3,4,1,1,0,0,0
23/03/2020,1185,44,3.7,0,0,2,3,10,13,7,4,3,2,2,0
24/03/2020,887,17,1.9,0,0,1,0,2,5,4,3,2,0,0,0
25/03/2020,1151,24,2.1,0,0,0,1,5,9,6,1,2,0,0,0
26/03/2020,817,23,2.8,0,0,1,0,6,7,3,3,2,1,1,0
27/03/2020,1089,36,3.3,0,0,1,1,7,12,7,7,0,1,0,1
28/03/2020,1046,25,2.4,0,0,0,1,3,11,3,5,0,2,1,1
29/03/2020,1057,42,4,0,0,1,2,8,10,8,5,6,2,2,0
30/03/2020,502,29,5.8,0,0,1,0,4,6,7,4,6,1,1,0
31/03/2020,500,22,4.4,0,0,0,1,1,9,4,1,5,1,1,0
01/04/2020,1003,48,4.8,0,0,0,0,1,5,7,20,12,3,2,1
02/04/2020,1024,12,1.2,0,0,0,2,2,0,3,4,0,1,1,0
03/04/2020,1364,35,2.6,0,1,1,1,6,4,6,10,2,5,1,4
04/04/2020,1182,16,1.4,0,1,1,1,1,3,2,5,2,1,1,0
05/04/2020,1300,24,1.8,0,0,1,0,4,6,3,2,7,1,0,1
06/04/2020,773,9,1.2,0,1,0,0,2,1,1,1,1,3,3,0
07/04/2020,1122,6,0.5,0,0,0,0,2,1,2,1,0,0,0,0
08/04/2020,1461,29,2,0,0,0,0,1,6,8,7,4,3,2,1
09/04/2020,1422,12,0.8,0,1,0,1,0,2,5,3,0,1,0,1
10/04/2020,1198,23,1.9,0,0,0,1,4,6,1,3,3,5,3,2
11/04/2020,1140,18,1.6,0,2,0,3,2,3,4,3,1,2,0,2
12/04/2020,418,21,5,0,1,0,0,6,0,4,1,2,8,6,2
13/04/2020,562,2,0.4,0,0,0,0,0,0,1,0,0,1,0,1
14/04/2020,242,4,1.7,0,0,0,0,0,0,0,0,2,2,2,0
15/04/2020,878,9,1,0,0,2,0,1,0,3,1,1,1,1,0
16/04/2020,1406,9,0.6,0,0,0,1,2,1,1,2,2,0,0,0
17/04/2020,1535,7,0.5,87,1,0,0,0,0,1,1,1,4,3,1
18/04/2020,1860,30,1.6,0,0,0,1,1,2,2,14,8,2,1,1
19/04/2020,1184,15,1.3,0,0,0,1,1,2,2,3,4,2,1,1
20/04/2020,787,12,1.5,0,0,0,3,0,2,1,3,2,1,1,0
21/04/2020,1304,9,0.7,45,3,0,0,1,2,1,2,1,2,2,0
22/04/2020,1364,13,1,0,0,0,0,0,3,2,4,1,3,3,0
23/04/2020,1705,17,1,0,0,3,4,3,0,3,2,2,0,0,0
24/04/2020,2039,6,0.3,134,1,0,0,1,1,1,1,0,2,2,0
25/04/2020,2663,20,0.8,0,0,0,3,2,3,3,2,3,4,2,2
26/04/2020,1874,8,0.4,0,1,0,0,0,0,2,3,1,2,1,1
27/04/2020,1564,6,0.4,0,0,0,0,1,0,1,2,0,2,1,1
28/04/2020,2380,18,0.8,0,2,0,0,2,3,8,3,2,0,0,0
29/04/2020,3250,13,0.4,81,0,0,0,3,1,4,1,1,3,2,1
30/04/2020,3075,9,0.3,0,1,0,0,1,2,2,2,1,1,0,1
01/05/2020,3234,12,0.4,0,0,0,0,0,2,4,2,3,1,1,0
02/05/2020,1982,1,0.1,0,1,0,0,0,0,0,1,0,0,0,0
03/05/2020,1143,8,0.7,0,0,0,0,3,0,0,0,1,4,1,3
04/05/2020,1219,17,1.4,0,1,0,0,0,1,1,4,6,5,1,4
05/05/2020,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2020,2477,4,0.2,116,0,0,0,1,0,2,0,0,1,0,1
07/05/2020,2442,9,0.4,0,0,0,0,1,0,4,3,1,0,0,0
08/05/2020,1947,19,1,0,0,1,1,2,3,6,3,0,3,0,3
